period,count,earliest_birth,latest_birth
Classical Antiquity,1,-428.0,-428.0
Contemporary,5,1946.0,1960.0
Early Modern,1,1780.0,1780.0
Hellenistic/Roman,2,-4.0,354.0
Long 19th Century,9,1856.0,1911.0
Revolutionary Era,3,1799.0,1818.0
Unknown,3,,
World Wars Era,43,1914.0,1944.0
