country,count,median_birth_year
Argentina,44,1930.0
France,8,1920.0
Germany,3,1818.0
United States,2,1919.5
Imperio Romano,2,175.0
Denmark,1,1813.0
Greece,1,-428.0
Imperio Austríaco,1,1856.0
Italy,1,1891.0
Russia,1,1917.0
"Sliven, Bulgaria",1,1941.0
