source_id,source_name,target_id,target_name,weight
ramon_alcalde,Ramón Alcalde,abelardo_castillo,Abelardo Castillo,1
ramon_alcalde,Ramón Alcalde,oswald_spengler,Oswald Spengler,1
ramon_alcalde,Ramón Alcalde,federico_sainz_de_robles,Federico Carlos Sainz de Robles,1
ramon_alcalde,Ramón Alcalde,esteban_echeverria,Esteban Echeverría,1
ramon_alcalde,Ramón Alcalde,sarmiento,Domingo Faustino Sarmiento,2
ramon_alcalde,Ramón Alcalde,juan_bautista_alberdi,Juan Bautista Alberdi,1
ramon_alcalde,Ramón Alcalde,leopoldo_lugones,Leopoldo Lugones,1
ramon_alcalde,Ramón Alcalde,manuel_galvez,Manuel Gálvez,1
ramon_alcalde,Ramón Alcalde,martinez_estrada,Ezequiel Martínez Estrada,1
ramon_alcalde,Ramón Alcalde,canal_feijoo,Bernardo Canal Feijóo,1
ramon_alcalde,Ramón Alcalde,hector_murena,Héctor Murena,1
ramon_alcalde,Ramón Alcalde,carlos_astrada,Carlos Astrada,1
ramon_alcalde,Ramón Alcalde,jose_luis_romero,José Luis Romero,1
ramon_alcalde,Ramón Alcalde,luis_franco,Luis Franco,1
ramon_alcalde,Ramón Alcalde,raul_scalabrini_ortiz,Raúl Scalabrini Ortiz,2
ramon_alcalde,Ramón Alcalde,arturo_jauretche,Arturo Jauretche,1
ramon_alcalde,Ramón Alcalde,david_vinias,David Viñas,2
ramon_alcalde,Ramón Alcalde,oscar_masotta,Óscar Masotta,1
ramon_alcalde,Ramón Alcalde,juan_jose_sebreli,Juan José Sebreli,1
ramon_alcalde,Ramón Alcalde,leonardo_castellani,Leonardo Castellani,1
ramon_alcalde,Ramón Alcalde,ignacio_anzoategui,Ignacio Anzoátegui,1
ramon_alcalde,Ramón Alcalde,juan_jose_hernandez_arregui,Juan José Hernández Arregui,1
ramon_alcalde,Ramón Alcalde,abelardo_ramos,Jorge Abelardo Ramos,1
ramon_alcalde,Ramón Alcalde,milciades_penia,Milcíades Peña,1
ramon_alcalde,Ramón Alcalde,borges,Jorge Borges,3
ramon_alcalde,Ramón Alcalde,roberto_arlt,Roberto Arlt,5
ramon_alcalde,Ramón Alcalde,jaime_rest,Jaime Rest,1
ramon_alcalde,Ramón Alcalde,pierre_chaunu,Pierre Chaunu,1
ramon_alcalde,Ramón Alcalde,san_agustin,de Hipona Agustín,1
ramon_alcalde,Ramón Alcalde,jean_paul_sartre,Jean-Paul Sartre,2
ramon_alcalde,Ramón Alcalde,jean_yves_calvez,Jean-Yves Calvez,1
ramon_alcalde,Ramón Alcalde,levi_strauss,Claude Lévi-Strauss,1
ramon_alcalde,Ramón Alcalde,angel_rama,Ángel Rama,1
ramon_alcalde,Ramón Alcalde,alfredo_palacios,Alfredo Palacios,1
ramon_alcalde,Ramón Alcalde,arturo_frondizi,Arturo Frondizi,1
ramon_alcalde,Ramón Alcalde,hector_campora,Héctor Cámpora,3
ramon_alcalde,Ramón Alcalde,juan_domingo_peron,Juan Domingo Perón,1
ramon_alcalde,Ramón Alcalde,raul_alfonsin,Raúl Alfonsín,1
ramon_alcalde,Ramón Alcalde,louis_althusser,Louis Althusser,1
ramon_alcalde,Ramón Alcalde,roland_barthes,Roland Barthes,1
ramon_alcalde,Ramón Alcalde,jacques_derrida,Jacques Derrida,1
ramon_alcalde,Ramón Alcalde,julia_kristeva,Julia Kristeva,1
ramon_alcalde,Ramón Alcalde,spinoza,Baruch Spinoza,3
ramon_alcalde,Ramón Alcalde,friedrich_nietzsche,Friedrich Nietzsche,4
ramon_alcalde,Ramón Alcalde,fiodor_dostoyevski,Fiódor Dostoyevski,1
ramon_alcalde,Ramón Alcalde,carlos_correas,Carlos Correas,25
ramon_alcalde,Ramón Alcalde,jean_genet,Jean Genet,5
ramon_alcalde,Ramón Alcalde,juan_carlos_ongania,Juan Carlos Onganía,1
ramon_alcalde,Ramón Alcalde,juan_manuel_rosas,Juan Manuel de Rosas,1
ramon_alcalde,Ramón Alcalde,hans_christian_andersen,Hans Christian Andersen,1
ramon_alcalde,Ramón Alcalde,hugo_von_hofmannsthal,Hugo von Hofmannsthal,1
ramon_alcalde,Ramón Alcalde,teocrito,Teócrito,1
ramon_alcalde,Ramón Alcalde,torquato_tasso,Torquato Tasso,1
