person_a,person_b,id_a,id_b,co_citation_count
Florencio Varela,Hieronymus Bosch,florencio_varela,bosco,1
Florencio Varela,Cayo Suetonio,florencio_varela,suetonio,1
Florencio Varela,Marcel Proust,florencio_varela,marcel_proust,1
Florencio Varela,Edgardo Cozarinsky,florencio_varela,edgardo_cozarinsky,1
Florencio Varela,Arturo Frondizi,florencio_varela,arturo_frondizi,1
Florencio Varela,Émile Zola,florencio_varela,emile_zola,1
Florencio Varela,Heródoto,florencio_varela,herodoto,1
Florencio Varela,Nathaniel Hawthorne,florencio_varela,nathaniel_hawthorne,1
Florencio Varela,Alphonse de Lamartine,florencio_varela,lamartine,1
Florencio Varela,Jean-Baptiste Poquelin,florencio_varela,moliere,1
Florencio Varela,Erwin Schrödinger,florencio_varela,erwin_schroedinger,1
Florencio Varela,Germán García,florencio_varela,german_garcia,1
Florencio Varela,Wolfgang Amadeus Mozart,florencio_varela,mozart,1
Florencio Varela,Giuseppe Arcimboldo,florencio_varela,arcimboldo,1
Florencio Varela,Valéry Giscard d'Estaing,florencio_varela,valery_giscard,1
Florencio Varela,José Mármol,florencio_varela,jose_marmol,1
Florencio Varela,Joan Manuel Serrat,florencio_varela,joan_manuel_serrat,1
Florencio Varela,Robert Walser,florencio_varela,robert_walser,1
Florencio Varela,Leopoldo Fortunato Galtieri,florencio_varela,leopoldo_galtieri,1
Florencio Varela,Charles Perrault,florencio_varela,charles_perrault,1
Florencio Varela,Alberto Laiseca,florencio_varela,alberto_laiseca,1
Florencio Varela,Horacio Quiroga,florencio_varela,horacio_quiroga,1
Florencio Varela,Mario Benjamín Menéndez,florencio_varela,benjamin_menendez,1
Florencio Varela,Juan Bautista Alberdi,florencio_varela,juan_bautista_alberdi,1
Florencio Varela,Eurípides,florencio_varela,euripides,1
Florencio Varela,William Shakespeare,florencio_varela,shakespeare,1
Florencio Varela,Yuri Tiniánov,florencio_varela,tinianov,1
Florencio Varela,Manuel Oribe,florencio_varela,manuel_oribe,1
Florencio Varela,Étienne Bonnot de Condillac,florencio_varela,etienne_de_condillac,1
Florencio Varela,Platón,florencio_varela,platon,1
