source_id,source_name,target_id,target_name,weight
luis_chitarroni,Luis Chitarroni,rodolfo_wilcock,Juan Rodolfo Wilcock,28
luis_chitarroni,Luis Chitarroni,ben_jonson,Ben Jonson,1
luis_chitarroni,Luis Chitarroni,ts_eliot,T. Eliot,3
luis_chitarroni,Luis Chitarroni,auden,Wystan Hugh Auden,1
luis_chitarroni,Luis Chitarroni,evelyn_waugh,Evelyn Waugh,1
luis_chitarroni,Luis Chitarroni,jack_kerouac,Jack Kerouac,1
luis_chitarroni,Luis Chitarroni,brahms,Johannes Brahms,1
luis_chitarroni,Luis Chitarroni,bioy_casares,Adolfo Bioy Casares,5
luis_chitarroni,Luis Chitarroni,alberto_arbasino,Alberto Arbasino,1
luis_chitarroni,Luis Chitarroni,alberto_moravia,Alberto Moravia,1
luis_chitarroni,Luis Chitarroni,henry_james,Henry James,2
luis_chitarroni,Luis Chitarroni,marcel_proust,Marcel Proust,1
luis_chitarroni,Luis Chitarroni,ruggero_guarini,Ruggero Guarini,1
luis_chitarroni,Luis Chitarroni,pasolini,Pier Paolo Pasolini,1
luis_chitarroni,Luis Chitarroni,dylan_thomas,Dylan Thomas,4
luis_chitarroni,Luis Chitarroni,vernon_watkins,Vernon Watkins,1
luis_chitarroni,Luis Chitarroni,felix_della_paolera,Félix Della Paolera,1
luis_chitarroni,Luis Chitarroni,ivy_compton_burnett,Ivy Compton-Burnett,1
luis_chitarroni,Luis Chitarroni,paul_valery,Ambroise Valéry,2
luis_chitarroni,Luis Chitarroni,claude_simon,Claude Simon,1
luis_chitarroni,Luis Chitarroni,borges,Jorge Borges,2
luis_chitarroni,Luis Chitarroni,jonathan_swift,Jonathan Swift,1
luis_chitarroni,Luis Chitarroni,erwin_schroedinger,Erwin Schrödinger,1
luis_chitarroni,Luis Chitarroni,henri_landru,Henri Landru,1
luis_chitarroni,Luis Chitarroni,mallarme,Stéphane Mallarmé,1
luis_chitarroni,Luis Chitarroni,sor_juana,Sor Juana Inés de la Cruz,1
luis_chitarroni,Luis Chitarroni,napoleon,Napoléon Bonaparte,1
luis_chitarroni,Luis Chitarroni,james_joyce,James Joyce,1
luis_chitarroni,Luis Chitarroni,edgardo_cozarinsky,Edgardo Cozarinsky,1
luis_chitarroni,Luis Chitarroni,john_milton,John Milton,1
