id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
georg_trakl,Georg Trakl,cited,1887.0,"Salzburgo, Austria",1,0,0.0,0.005755,0.062596
borges,Jorge Borges,cited,1899.0,Argentina,6,0,0.0,0.005488,0.164088
nestor_perlongher,Néstor Perlongher,author,1949.0,Argentina,2,9,0.003805,0.005173,0.088524
rodolfo_wilcock,Juan Rodolfo Wilcock,cited,1919.0,"Buenos Aires, Argentina",3,0,0.0,0.004784,0.044263
philippe_aries,Philippe Ariès,cited,1914.0,"Blois, Francia",1,0,0.0,0.004777,0.0
gustave_flaubert,Gustave Flaubert,cited,1821.0,Francia,2,0,0.0,0.004574,1e-06
osman_lins,Osman Lins,cited,1924.0,"Vitória de Santo Antão, Brasil",1,0,0.0,0.004573,0.0
luis_gusman,Luis Gusmán,author,1944.0,Argentina,3,44,0.00236,0.004428,0.106858
osvaldo_soriano,Osvaldo Soriano,cited,1943.0,"Mar del Plata, Argentina",2,0,0.0,0.004369,0.119822
alfonsina_storni,Alfonsina Storni,cited,1892.0,"Sala Capriasca, Suiza",3,0,0.0,0.004305,0.15112
marta_lynch,Marta Lynch,cited,1925.0,"Buenos Aires, Argentina",1,0,0.0,0.004302,0.0
jorge_jinkis,Jorge Jinkis,author,1943.0,Argentina,1,38,0.000778,0.004151,0.062596
david_vinias,David Viñas,cited,1927.0,"Buenos Aires, Argentina",4,0,0.0,0.004068,0.164087
jesus,de Nazaret Jesús,cited,-4.0,Imperio Romano (Judea),3,0,0.0,0.004001,0.062597
jose_marmol,José Mármol,cited,1817.0,"Buenos Aires, Argentina",2,0,0.0,0.003861,0.119825
wanda_sacher_masoch,Wanda von Sacher-Masoch,cited,1845.0,"Graz, Austria",1,0,0.0,0.003827,0.0
alejandro_dumas,Alexandre Dumas,cited,1802.0,"Villers-Cotterêts, Francia",1,0,0.0,0.003822,0.075563
amilcar_barca,Amílcar Barca,cited,-275.0,"Cartago, Túnez",1,0,0.0,0.00381,0.0
horacio_quiroga,Horacio Quiroga,cited,1878.0,"Salto, Uruguay",3,0,0.0,0.003799,0.106858
hugo_savino,Hugo Savino,author,1945.0,Argentina,2,20,0.000696,0.003794,0.106858
osvaldo_rossler,Osvaldo Rossler,cited,,,2,0,0.0,0.003794,0.106858
melville,Herman Melville,cited,1819.0,Estados Unidos,1,0,0.0,0.003759,0.0
mozart,Wolfgang Amadeus Mozart,cited,1756.0,"Salzburgo, Austria",1,0,0.0,0.003759,0.0
domenico_scarlatti,Domenico Scarlatti,cited,1685.0,"Nápoles, Italia",1,0,0.0,0.003759,0.0
hector_grisafi,Héctor Grisafi,cited,,Argentina,1,0,0.0,0.003752,0.062596
ramon_alcalde,Ramón Alcalde,author,1951.0,Argentina,1,42,0.000807,0.003752,0.062596
eduardo_gruner,Eduardo Grüner,author,1946.0,Argentina,1,89,0.002697,0.003752,0.062596
juan_manuel_rosas,Juan Manuel de Rosas,cited,1793.0,"Buenos Aires, Argentina",3,0,0.0,0.003743,0.164087
leon_rozitchner,León Rozitchner,cited,1924.0,"Chivilcoy, Argentina",1,0,0.0,0.003718,0.044262
gustave_aimard,Gustave Aimard,cited,1818.0,"París, Francia",1,0,0.0,0.003692,0.075563
daniel_moyano,Daniel Moyano,cited,1930.0,"Buenos Aires, Argentina",1,0,0.0,0.003666,0.075563
robert_walser,Robert Walser,cited,1878.0,"Biel/Bienne, Suiza",1,0,0.0,0.003666,0.075563
juan_jose_sebreli,Juan José Sebreli,cited,1930.0,"Buenos Aires, Argentina",1,0,0.0,0.003634,0.044262
roberto_arlt,Roberto Arlt,cited,1900.0,"Buenos Aires, Argentina",2,0,0.0,0.003625,0.044262
francois_mitterrand,François Mitterrand,cited,1916.0,"Jarnac, Francia",1,0,0.0,0.003621,0.07556
charles_chaplin,Charles Chaplin,cited,1889.0,"Londres, Reino Unido",1,0,0.0,0.003621,0.07556
lamartine,Alphonse de Lamartine,cited,1790.0,"Mâcon, Francia",2,0,0.0,0.003609,0.075563
jean_paul_sartre,Jean-Paul Sartre,cited,1905.0,Francia,3,0,0.0,0.003608,0.088524
mathos,Mathos,cited,,Libia,1,0,0.0,0.003607,0.0
manuel_puig,Manuel Puig,cited,1932.0,"General Villegas, Argentina",2,0,0.0,0.003564,0.119822
ts_eliot,T. Eliot,cited,1888.0,Estados Unidos,2,0,0.0,0.003557,0.07556
bosco,Hieronymus Bosch,cited,1450.0,Países Bajos Borgoñones,2,0,0.0,0.003556,0.075563
theophile_gautier,Théophile Gautier,cited,1811.0,"Tarbes, Francia",1,0,0.0,0.003556,0.0
luis_gregorich,Luis Gregorich,cited,1928.0,"General Villegas, Argentina",1,0,0.0,0.003549,0.044262
roland_barthes,Roland Barthes,cited,1915.0,Francia,2,0,0.0,0.003546,1e-06
bioy_casares,Adolfo Bioy Casares,cited,1914.0,Argentina,1,0,0.0,0.003545,0.0
diego_angelino,Diego Angelino,cited,1944.0,"Maciá, Argentina",1,0,0.0,0.003545,0.0
friedrich_nietzsche,Friedrich Nietzsche,cited,1844.0,Prusia (actual Alemania),3,0,0.0,0.003537,0.15112
juan_bautista_alberdi,Juan Bautista Alberdi,cited,1810.0,"San Miguel de Tucumán, Argentina",1,0,0.0,0.003532,0.044262
italo_calvino,Italo Calvino,cited,1923.0,"Santiago de las Vegas, Cuba",1,0,0.0,0.003531,0.07556
karen_quinlan,Karen Ann Quinlan,cited,1954.0,"Scranton, Estados Unidos",1,0,0.0,0.00353,0.0
hans_memling,Hans Memling,cited,1430.0,"Seligenstadt, Alemania",1,0,0.0,0.00353,0.0
jan_van_eyck,Jan van Eyck,cited,1390.0,"Maaseik, Bélgica",1,0,0.0,0.00353,0.0
edgar_morin,Edgar Morin,cited,1921.0,Francia,1,0,0.0,0.00353,0.0
jan_potocki,Jan Potocki,cited,1761.0,"Pikov, Ucrania",1,0,0.0,0.00353,0.0
miguel_briante,Miguel Briante,cited,1944.0,"General Belgrano, Argentina",2,0,0.0,0.003525,0.119825
mario_benedetti,Mario Benedetti,cited,1920.0,"Paso de los Toros, Uruguay",1,0,0.0,0.003521,0.044262
julio_cortazar,Julio Cortázar,cited,1914.0,Bélgica,3,0,0.0,0.003519,0.164083
dylan_thomas,Dylan Thomas,cited,1914.0,"Swansea, Gales",1,0,0.0,0.003506,0.0
kafka,Franz Kafka,cited,1883.0,"Praga, Imperio Austrohúngaro",3,0,0.0,0.003504,0.119825
martinez_estrada,Ezequiel Martínez Estrada,cited,1895.0,"San José de la Esquina, Argentina",1,0,0.0,0.003499,0.044262
james_joyce,James Joyce,cited,1882.0,Irlanda,3,0,0.0,0.003499,0.044263
freud,Sigmund Freud,cited,1856.0,Imperio Austríaco (actual República Checa),1,0,0.0,0.003493,0.044262
ricardo_piglia,Ricardo Piglia,cited,1940.0,"Adrogué, Argentina",3,0,0.0,0.003493,0.088524
jose_hernandez,José Hernández,cited,1834.0,"Chacras de Perdriel, Argentina",2,0,0.0,0.003492,0.088524
sarmiento,Domingo Faustino Sarmiento,cited,1811.0,"San Juan, Argentina",2,0,0.0,0.003492,0.088524
morris_west,Morris West,cited,1916.0,"Melbourne, Australia",1,0,0.0,0.003483,0.075563
aristoteles,Aristóteles,cited,-384.0,Grecia Antigua,3,0,0.0,0.003483,0.18242
jose_pablo_feinmann,José Pablo Feinmann,cited,1943.0,"Buenos Aires, Argentina",1,0,0.0,0.003483,0.044262
platon,Platón,cited,-428.0,Grecia Antigua,1,0,0.0,0.003479,0.062596
stanislaus_joyce,Stanislaus Joyce,cited,1884.0,"Dublín, Irlanda",1,0,0.0,0.003475,0.0
