source_id,source_name,target_id,target_name,weight
ramon_alcalde,Ramón Alcalde,platon,Platón,1
ramon_alcalde,Ramón Alcalde,ronald_reagan,Ronald Reagan,1
ramon_alcalde,Ramón Alcalde,cesar_jaroslavsky,César Jaroslavsky,1
ramon_alcalde,Ramón Alcalde,juan_octavio_gauna,Juan Octavio Gauna,15
ramon_alcalde,Ramón Alcalde,jose_severo_caballero,José Severo Caballero,1
ramon_alcalde,Ramón Alcalde,augusto_belluscio,Augusto César Belluscio,1
ramon_alcalde,Ramón Alcalde,carlos_fayt,Carlos Santiago Fayt,1
ramon_alcalde,Ramón Alcalde,enrique_petracchi,Enrique Santiago Petracchi,1
ramon_alcalde,Ramón Alcalde,norberto_cozzani,Norberto Ricardo Cozzani,4
ramon_alcalde,Ramón Alcalde,jorge_antonio_berges,Jorge Antonio Bergés,4
ramon_alcalde,Ramón Alcalde,jorge_bacque,Jorge Antonio Bacqué,7
ramon_alcalde,Ramón Alcalde,soren_kierkegaard,Søren Kierkegaard,1
ramon_alcalde,Ramón Alcalde,jesus,de Nazaret Jesús,1
ramon_alcalde,Ramón Alcalde,ramon_camps,Ramón Juan Alberto Camps,1
ramon_alcalde,Ramón Alcalde,ovidio_riccheri,Ovidio P. Riccheri,1
ramon_alcalde,Ramón Alcalde,miguel_etchecolatz,Miguel Osvaldo Etchecolatz,2
ramon_alcalde,Ramón Alcalde,freud,Sigmund Freud,1
ramon_alcalde,Ramón Alcalde,leopoldo_galtieri,Leopoldo Fortunato Galtieri,1
ramon_alcalde,Ramón Alcalde,nicaragua,nicaragua,1
ramon_alcalde,Ramón Alcalde,jorge_anaya,Jorge Isaac Anaya,1
ramon_alcalde,Ramón Alcalde,basilio_lami_dozo,Basilio Lami Dozo,1
ramon_alcalde,Ramón Alcalde,dante_caputo,Dante Mario Antonio Caputo,1
ramon_alcalde,Ramón Alcalde,juan_sourrouille,Juan Vital Sourrouille,1
ramon_alcalde,Ramón Alcalde,mohamed_seineldin,Mohamed Alí Seineldín,1
ramon_alcalde,Ramón Alcalde,tomas_de_torquemada,Tomás de Torquemada,1
ramon_alcalde,Ramón Alcalde,guillermo_fierro,Guillermo Jorge Fierro,3
ramon_alcalde,Ramón Alcalde,san_agustin,de Hipona Agustín,1
ramon_alcalde,Ramón Alcalde,adolf_eichmann,Otto Adolf Eichmann,1
ramon_alcalde,Ramón Alcalde,jose_caridi,José Dante Caridi,1
