id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
juan_octavio_gauna,Juan Octavio Gauna,cited,1937.0,"Buenos Aires, Argentina",5,0,0.0,0.021838,0.273818
jorge_bacque,Jorge Antonio Bacqué,cited,1922.0,"Buenos Aires, Argentina",5,0,0.0,0.017739,0.273818
jorge_antonio_berges,Jorge Antonio Bergés,cited,1942.0,"Buenos Aires, Argentina",5,0,0.0,0.017141,0.273818
norberto_cozzani,Norberto Ricardo Cozzani,cited,1942.0,"Buenos Aires, Argentina",5,0,0.0,0.017141,0.273818
horacio_gonzalez,Horacio Luis González,cited,1944.0,"Buenos Aires, Argentina",2,0,0.0,0.016851,0.109697
enrique_petracchi,Enrique Santiago Petracchi,cited,1935.0,"Buenos Aires, Argentina",5,0,0.0,0.016543,0.273818
ronald_reagan,Ronald Reagan,cited,1911.0,Estados Unidos,5,0,0.0,0.016543,0.273818
platon,Platón,cited,-428.0,Grecia Antigua,5,0,0.0,0.016543,0.273818
carlos_fayt,Carlos Santiago Fayt,cited,1918.0,"Salta, Argentina",5,0,0.0,0.016543,0.273818
augusto_belluscio,Augusto César Belluscio,cited,1930.0,"Buenos Aires, Argentina",5,0,0.0,0.016543,0.273818
jose_severo_caballero,José Severo Caballero,cited,1926.0,"Córdoba, Argentina",5,0,0.0,0.016543,0.273818
cesar_jaroslavsky,César Jaroslavsky,cited,1928.0,"Victoria, Entre Ríos, Argentina",5,0,0.0,0.016543,0.273818
raul_alfonsin,Raúl Alfonsín,cited,1927.0,"Chascomús, Argentina",2,0,0.0,0.016009,0.109697
eliseo_veron,Eliseo Verón,cited,1935.0,"Buenos Aires, Argentina",1,0,0.0,0.015213,0.054989
oscar_landi,Oscar Landi,cited,1939.0,"Buenos Aires, Argentina",1,0,0.0,0.014821,0.054989
alejandro_katz,Gabriel Alejandro Katz,cited,1960.0,"Buenos Aires, Argentina",1,0,0.0,0.014625,0.054989
oswald_ducrot,Oswald Ducrot,cited,1930.0,"París, Francia",1,0,0.0,0.014625,0.054989
jose_rivanera,José Nicolás Rivanera,cited,1928.0,"Buenos Aires, Argentina",1,0,0.0,0.014533,0.054989
guillermo_fierro,Guillermo Jorge Fierro,cited,1930.0,"Buenos Aires, Argentina",1,0,0.0,0.014439,0.054989
david_vinias,David Viñas,cited,1927.0,"Buenos Aires, Argentina",1,0,0.0,0.014429,0.054989
miguel_etchecolatz,Miguel Osvaldo Etchecolatz,cited,1929.0,"Azul, Argentina",1,0,0.0,0.01424,0.054989
francois_mitterrand,François Mitterrand,cited,1916.0,"Jarnac, Francia",1,0,0.0,0.014233,0.054989
juan_domingo_peron,Juan Domingo Perón,cited,1895.0,"Lobos, Argentina",1,0,0.0,0.014233,0.054989
reynaldo_bignone,Reynaldo Benito Antonio Bignone,cited,1928.0,"Morón, Argentina",1,0,0.0,0.014187,0.054989
oscar_igounet_padre,Oscar Pablo Igounet,cited,1918.0,"Buenos Aires, Argentina",1,0,0.0,0.014187,0.054989
balzac,Honoré Balzac,cited,1799.0,Francia,1,0,0.0,0.014187,0.054989
