id,name,count
juan_octavio_gauna,Juan Octavio Gauna,23
jorge_bacque,Jorge Antonio Bacqué,11
horacio_gonzalez,Horacio Luis González,10
norberto_cozzani,Norberto Ricardo Cozzani,8
jorge_antonio_berges,Jorge Antonio Bergés,8
raul_alfonsin,Raúl Alfonsín,8
eliseo_veron,Eliseo Verón,7
platon,Platón,5
ronald_reagan,Ronald Reagan,5
cesar_jaroslavsky,César Jaroslavsky,5
jose_severo_caballero,José Severo Caballero,5
augusto_belluscio,Augusto César Belluscio,5
carlos_fayt,Carlos Santiago Fayt,5
enrique_petracchi,Enrique Santiago Petracchi,5
oscar_landi,Oscar Landi,5
oswald_ducrot,Oswald Ducrot,4
alejandro_katz,Gabriel Alejandro Katz,4
guillermo_fierro,Guillermo Jorge Fierro,3
david_vinias,David Viñas,3
miguel_etchecolatz,Miguel Osvaldo Etchecolatz,2
jose_rivanera,José Nicolás Rivanera,2
francois_mitterrand,François Mitterrand,2
juan_domingo_peron,Juan Domingo Perón,2
soren_kierkegaard,Søren Kierkegaard,1
jesus,de Nazaret Jesús,1
ramon_camps,Ramón Juan Alberto Camps,1
ovidio_riccheri,Ovidio P. Riccheri,1
freud,Sigmund Freud,1
leopoldo_galtieri,Leopoldo Fortunato Galtieri,1
nicaragua,nicaragua,1
