bibl_id,title,author_name,author_ref,date_year,level,lang,citation_count
revista_sitio,Sitio,,,1981,j,,18
cervantes_quijote,El ingenioso hidalgo don Quijote de la Mancha,"Cervantes, Miguel de",cervantes,1605,m,,18
joyce_ulises,Ulysses,"Joyce, James",james_joyce,1922,m,en,15
diario_clarin,Clarín,,,1945,j,,13
rossler_cambalache,rossler_cambalache,,,,,,12
borges_lopezyward,Juan López y John Ward,"Borges, Jorge Luis",borges,1982,a,,12
diario_la_nacion,La Nación,,,1870,j,,7
kant_critica,Crítica de la razón pura,"Kant, Immanuel",kant,1781,m,,6
plauto_miles_gloriosus,Miles Gloriosus,"Plauto, Tito Maccio",plauto,,m,,6
evangelio_san_juan,Evangelio según San Juan,Juan el Evangelista,san_juan_persona,,m,,6
revista_christian_science,The Christian Science Monitor,,,1908,j,,6
araucana,La Araucana,"Ercilla, Alonso de",alonso_de_ercilla,1569,m,,6
remarque_novedad_frente,Sin novedad en el frente,"Remarque, Erich Maria",erich_maria_remarque,1929,m,,6
celine_viaje_noche,Viaje al fin de la noche,"Céline, Louis-Ferdinand",louis_ferdinand_celine,1932,m,,6
faulkner_invictos,Los invictos,"Faulkner, William",william_faulkner,1938,m,,6
tolstoi_guerra_paz,Guerra y paz,"Tolstói, Lev",lev_tolstoi,1869,m,,6
heller_trampa22,Trampa 22,"Heller, Joseph",joseph_heller,1961,m,,6
los_miserables,Los Miserables,"Hugo, Victor",victor_hugo,1862,m,,6
marechal_adan,Adán Buenosayres,"Marechal, Leopoldo",leopoldo_marechal,1948,m,,6
bunyan_pilgrim,The Pilgrim's Progress,"Bunyan, John",john_bunyan,1678,m,,6
ulla_urdimbre,La urdimbre,"Ulla, Noemí",noemi_ulla,1982,m,,6
odisea,Odisea,Homero,homero,-725,m,,4
joyce_finnegans,Finnegans Wake,"Joyce, James",james_joyce,1939,m,,3
joyce_dublinenses,Dublinenses,"Joyce, James",james_joyce,1914,m,,3
ocampo_archipielago,El archipiélago,"Ocampo, Victoria",victoria_ocampo,1979,m,,3
piglia_respiracion,Respiración artificial,"Piglia, Ricardo",ricardo_piglia,1980,m,,2
laiseca_aventuras,Aventuras de un novelista atonal,"Laiseca, Alberto",alberto_laiseca,1982,m,,2
mallea_mancha_marmol,La mancha en el mármol,"Mallea, Eduardo",eduardo_mallea,1982,m,,2
molloy_breve_carcel,En breve cárcel,"Molloy, Sylvia",sylvia_molloy,1981,m,,2
pizarnik_bucanera,La bucanera de Pernambuco o Hilda la polígrafa,"Pizarnik, Alejandra",alejandra_pizarnik,1982,m,,2
biblia_job,Job,Anónimo,,,m,,1
subirat_ruta_miraje,La ruta de miraje,"Salas Subirat, José",jose_salas_subirat,1924,m,,1
subirat_pasos_sombra,Pasos en la sombra,"Salas Subirat, José",jose_salas_subirat,1925,m,,1
subirat_fosiles,Los fósiles del futurismo,"Salas Subirat, José",jose_salas_subirat,1928,m,,1
garcia_marquez_coronel,El coronel no tiene quien le escriba,"García Márquez, Gabriel",garcia_marquez,1961,m,,1
garcia_marquez_cien_anios,Cien años de soledad,"García Márquez, Gabriel",garcia_marquez,1967,m,,1
revista_buenos_aires_literaria,Buenos Aires Literaria,,,1952,j,,1
joyce_musica_camara,Música de cámara,"Joyce, James",james_joyce,1907,m,,1
joyce_retrato_artista,Retrato del artista adolescente,"Joyce, James",james_joyce,1916,m,,1
comedia_humana,La Comedia Humana,"Balzac, Honoré de",balzac,1829,m,,1
ocampo_imperio_insular,El imperio insular,"Ocampo, Victoria",victoria_ocampo,1980,m,,1
lawrence_siete_pilares,Los siete pilares de la sabiduría,"Lawrence, T.E.",te_lawrence,1926,m,,1
ocampo_rama,La rama de Salzburgo,"Ocampo, Victoria",victoria_ocampo,1981,m,,1
stendhal_del_amor,Del amor,Stendhal,stendhal,1822,m,,1
revista_selecciones,revista_selecciones,,,,,,1
puig_boquitas_pintadas,Boquitas pintadas,"Puig, Manuel",manuel_puig,1969,m,,1
lamborghini_ninio_proletario,El niño proletario,"Lamborghini, Osvaldo",osvaldo_lamborghini,1973,a,,1
celine_muerte_credito,Muerte a crédito,"Céline, Louis-Ferdinand",louis_ferdinand_celine,1936,m,,1
carrera_partera_canta,La partera canta,"Carrera, Arturo",arturo_carrera,1982,m,,1
mallea_bahia_silencio,La bahía de silencio,"Mallea, Eduardo",eduardo_mallea,1940,m,,1
pizarnik_textos_sombra,Textos de sombra y últimos poemas,"Pizarnik, Alejandra",alejandra_pizarnik,1982,m,,1
pizarnik_extraccion,Extracción de la piedra de locura,"Pizarnik, Alejandra",alejandra_pizarnik,1968,m,,1
pizarnik_arbol_diana,Árbol de Diana,"Pizarnik, Alejandra",alejandra_pizarnik,1962,m,,1
pizarnik_tiempo,A tiempo y no,"Pizarnik, Alejandra",alejandra_pizarnik,1968,a,,1
carrera_momento_simetria,Momento de simetría,"Carrera, Arturo",arturo_carrera,1973,m,,1
valery_cementerio_marino,El cementerio marino,"Valéry, Paul",paul_valery,1920,m,,1
