person_a,person_b,id_a,id_b,co_citation_count
Samuel Beckett,Ambroise Valéry,samuel_beckett,paul_valery,3
Léon Bloy,Samuel Beckett,leon_bloy,samuel_beckett,2
Léon Bloy,Ambroise Valéry,leon_bloy,paul_valery,2
Léon Bloy,Joseph Renan,leon_bloy,ernest_renan,2
Samuel Beckett,Joseph Renan,samuel_beckett,ernest_renan,2
Samuel Beckett,Ezra Pound,samuel_beckett,ezra_pound,2
Samuel Beckett,Louis-Ferdinand Céline,samuel_beckett,louis_ferdinand_celine,2
Samuel Beckett,James Joyce,samuel_beckett,james_joyce,2
Samuel Beckett,Jorge Borges,samuel_beckett,borges,2
Samuel Beckett,Friedrich Nietzsche,samuel_beckett,friedrich_nietzsche,2
Samuel Beckett,Franz Kafka,samuel_beckett,kafka,2
Ambroise Valéry,Joseph Renan,paul_valery,ernest_renan,2
Ambroise Valéry,Ezra Pound,paul_valery,ezra_pound,2
Ambroise Valéry,Louis-Ferdinand Céline,paul_valery,louis_ferdinand_celine,2
Ambroise Valéry,James Joyce,paul_valery,james_joyce,2
Ambroise Valéry,Jorge Borges,paul_valery,borges,2
Ambroise Valéry,Friedrich Nietzsche,paul_valery,friedrich_nietzsche,2
Ambroise Valéry,Franz Kafka,paul_valery,kafka,2
Ezra Pound,Louis-Ferdinand Céline,ezra_pound,louis_ferdinand_celine,2
Ezra Pound,James Joyce,ezra_pound,james_joyce,2
Ezra Pound,Jorge Borges,ezra_pound,borges,2
Ezra Pound,Friedrich Nietzsche,ezra_pound,friedrich_nietzsche,2
Ezra Pound,Franz Kafka,ezra_pound,kafka,2
Louis-Ferdinand Céline,James Joyce,louis_ferdinand_celine,james_joyce,2
Louis-Ferdinand Céline,Jorge Borges,louis_ferdinand_celine,borges,2
Louis-Ferdinand Céline,Friedrich Nietzsche,louis_ferdinand_celine,friedrich_nietzsche,2
Louis-Ferdinand Céline,Franz Kafka,louis_ferdinand_celine,kafka,2
James Joyce,Jorge Borges,james_joyce,borges,2
James Joyce,Friedrich Nietzsche,james_joyce,friedrich_nietzsche,2
James Joyce,Franz Kafka,james_joyce,kafka,2
