id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
jesus,de Nazaret Jesús,cited,-4.0,Imperio Romano (Judea),3,0,0.0,0.004744,0.117853
esteban_echeverria,Esteban Echeverría,cited,1805.0,Virreinato del Río de la Plata,1,0,0.0,0.004642,3e-06
silvina_ocampo,Silvina Ocampo,cited,1903.0,Argentina,1,0,0.0,0.004367,0.0
ruben_dario,Rubén Darío,cited,1867.0,Nicaragua,2,0,0.0,0.004252,3e-06
borges,Jorge Borges,cited,1899.0,Argentina,7,0,0.0,0.003941,0.117856
catherine_yarrow,Catherine Yarrow,cited,1904.0,Inglaterra,1,0,0.0,0.003848,0.0
rabelais,François Rabelais,cited,1494.0,Francia,1,0,0.0,0.003596,0.0
felisberto_hernandez,Felisberto Hernández,cited,1902.0,Uruguay,1,0,0.0,0.003389,0.0
leon_bloy,Léon Bloy,author,1846.0,Francia,2,19,0.000526,0.00335,0.117851
virgilio_piniera,Virgilio Piñera,cited,1912.0,Cuba,3,0,0.0,0.003326,3e-06
cabrera_infante,Guillermo Cabrera Infante,cited,1929.0,Cuba,1,0,0.0,0.003267,0.0
edouard_drumont,Édouard Drumont,cited,1844.0,Francia,2,0,0.0,0.003183,0.117853
samuel_beckett,Samuel Beckett,cited,1906.0,Irlanda,4,0,0.0,0.00316,0.117851
freud,Sigmund Freud,cited,1856.0,Imperio Austríaco (actual República Checa),2,0,0.0,0.003146,0.0
balzac,Honoré Balzac,cited,1799.0,Francia,3,0,0.0,0.003131,0.117855
paul_valery,Ambroise Valéry,cited,1871.0,Francia,4,0,0.0,0.003118,0.117853
cecilia_de_benedetti,Cecilia Benedit de Debenedetti,cited,1895.0,Argentina,1,0,0.0,0.003111,0.0
ernesto_sabato,Ernesto Sabato,cited,1911.0,Argentina,1,0,0.0,0.003111,0.0
luis_gusman,Luis Gusmán,author,1944.0,Argentina,1,3,2.3e-05,0.003111,0.0
max_ernst,Max Ernst,cited,1891.0,Imperio alemán (actual Alemania),1,0,0.0,0.003075,0.0
georges_bataille,Georges Bataille,cited,1897.0,Francia,3,0,0.0,0.003065,3e-06
garcia_marquez,Gabriel García Márquez,cited,1927.0,Colombia,1,0,0.0,0.003043,3e-06
alejo_carpentier,Alejo Carpentier,cited,1904.0,Suiza,1,0,0.0,0.003043,3e-06
mallarme,Stéphane Mallarmé,cited,1842.0,Francia,2,0,0.0,0.003038,3e-06
ernest_renan,Joseph Renan,cited,1823.0,Francia,2,0,0.0,0.003033,0.235701
edgar_allan_poe,Edgar Poe,cited,1809.0,Estados Unidos,2,0,0.0,0.003031,3e-06
gustave_flaubert,Gustave Flaubert,cited,1821.0,Francia,2,0,0.0,0.00302,3e-06
hugo_savino,Hugo Savino,cited,1945.0,Argentina,1,0,0.0,0.003014,3e-06
stendhal,Stendhal,cited,1783.0,Francia,1,0,0.0,0.003014,3e-06
melville,Herman Melville,cited,1819.0,Estados Unidos,1,0,0.0,0.003014,3e-06
sergei_eisenstein,Sergei Eisenstein,cited,1898.0,Imperio Ruso (actual Letonia),2,0,0.0,0.003001,3e-06
martin_lutero,Martín Lutero,cited,1483.0,Sacro Imperio Romano Germánico (actual Alemania),1,0,0.0,0.002994,0.11785
leo_strauss,Leo Strauss,author,1899.0,Alemania,1,44,0.00065,0.002994,0.11785
leopoldo_lugones,Leopoldo Lugones,cited,1874.0,Argentina,1,0,0.0,0.002994,0.11785
andre_gide,André Gide,cited,1869.0,Francia,1,0,0.0,0.002989,3e-06
cremonini,Leonardo Cremonini,cited,1925.0,Italia,1,0,0.0,0.002977,3e-06
james_joyce,James Joyce,cited,1882.0,Irlanda,4,0,0.0,0.002948,1e-06
emile_zola,Émile Zola,author,1840.0,Francia,1,7,3.9e-05,0.002925,0.0
anderson_imbert,Enrique Anderson Imbert,cited,1910.0,Argentina,1,0,0.0,0.002915,3e-06
dino_buzzati,Dino Buzzati,cited,1906.0,Italia,1,0,0.0,0.002913,3e-06
