id,name,count
osvaldo_rossler,Osvaldo Rossler,54
borges,Jorge Borges,36
joseph_conrad,Joseph Conrad,30
james_joyce,James Joyce,15
bernardo_neustadt,Bernardo Neustadt,12
enrique_santos_discepolo,Enrique Santos Discépolo,12
tata_ocampo,Tata Ocampo,8
friedrich_nietzsche,Friedrich Nietzsche,7
carl_jung,Carl Gustav Jung,7
alejandra_pizarnik,Alejandra Pizarnik,7
kant,Immanuel Kant,6
ronald_reagan,Ronald Reagan,6
paul_groussac,Paul Groussac,6
alfredo_palacios,Alfredo Palacios,6
juan_domingo_peron,Juan Domingo Perón,6
costa_mendez,Nicanor Costa Méndez,6
benjamin_menendez,Mario Benjamín Menéndez,6
juan_pablo_ii,Juan Pablo II Wojtyła,6
leonidas,Leónidas I,6
martinez_estrada,Ezequiel Martínez Estrada,6
julio_cortazar,Julio Cortázar,6
san_martin,José de San Martín,6
napoleon,Napoléon Bonaparte,6
aristoteles,Aristóteles,6
nicomaco,Nicómaco,6
rafael_alberto_arrieta,Rafael Alberto Arrieta,6
pedro_abelardo,Pedro Abelardo,6
eloisa,Eloísa,6
ricardo_piglia,Ricardo Piglia,6
eduardo_mallea,Eduardo Mallea,6
