id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
carlos_moyano_llerena,Carlos Moyano Llerena,1914.0,2005.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q6404482,91.0
george_gilder,George Gilder,1939.0,,Estados Unidos,United States,North America,World Wars Era,http://www.wikidata.org/entity/Q3760499,
ronald_reagan,Ronald Reagan,1911.0,2004.0,Estados Unidos,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q9960,93.0
adam_smith,Adam Smith,1723.0,1790.0,Escocia,Escocia,Other/Unknown,Early Modern,http://www.wikidata.org/entity/Q9381,67.0
juan_alemann,Juan Alemann,1927.0,2024.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5947079,97.0
hugo_wast,Hugo Wast,1883.0,1962.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q321110,79.0
jacob_brafman,Jacob Brafman,1825.0,1879.0,Imperio Ruso (actual Bielorrusia),Russia,Eastern Europe,Revolutionary Era,http://www.wikidata.org/entity/Q4096142,54.0
august_rohling,August Rohling,1839.0,1931.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q72137,92.0
horangel,Horacio Tirigall,1927.0,2021.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q16575906,94.0
jose_uriburu,José Uriburu,1868.0,1932.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q363555,64.0
agustin_justo,Agustín Justo,1876.0,1943.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q365352,67.0
mussolini,Benito Mussolini,1883.0,1945.0,Italia,Italy,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q23559,62.0
adolf_hitler,Adolf Hitler,1889.0,1945.0,Imperio Austrohúngaro (Actual Austria),Austria,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q352,56.0
victor_manuel2,II Víctor Manuel,1820.0,1878.0,Reino de Cerdeña (actual Italia),Italy,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q168691,58.0
otto_von_bismarck,Otto Bismarck,1815.0,1898.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q8442,83.0
alberto_gerchunoff,Alberto Gerchunoff,1883.0,1950.0,Imperio Ruso (actual Ucrania),Imperio Ruso,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q458186,67.0
adolphe_cremieux,Adolphe Crémieux,1796.0,1880.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q260047,84.0
theodor_herzl,Theodor Herzl,1860.0,1904.0,Imperio Austríaco (actual Hungría),Hungary,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q44003,44.0
san_jorge,San Jorge,275.0,303.0,Imperio Romano (actual Turquía),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q48438,28.0
alfred_dreyfus,Alfred Dreyfus,1859.0,1935.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q171826,76.0
huysmans,Joris-Karl Huysmans,1848.0,1907.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q210798,59.0
paul_bourget,Paul Bourget,1852.0,1935.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q198644,83.0
alphonse_daudet,Alphonse Daudet,1840.0,1897.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q228546,57.0
edmond_goncourt,Edmond Goncourt,1822.0,1896.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q1249210,74.0
claretie,Jules Claretie,1840.0,1913.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q912271,73.0
platelle,Henri Platelle,1921.0,2011.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q3131799,90.0
scholl,Aurélien Scholl,1833.0,1902.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q2872062,69.0
maupassant,Guy Maupassant,1850.0,1893.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q9327,43.0
uzanne,Octave Uzanne,1851.0,1931.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q960277,80.0
bonnieres,Robert Bonnières,1850.0,1905.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q428451,55.0
fournel,Victor Fournel,1829.0,1894.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q3557307,65.0
george_eliot,George Eliot,1819.0,1880.0,Inglaterra,United Kingdom,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q131333,61.0
coronel_henry,Hubert-Joseph Henry,1846.0,1898.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q981772,52.0
esterhazy,Ferdinand Esterhazy,1847.0,1923.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q379463,76.0
paulo_iv,IV Paulo,1476.0,1559.0,Reino de Nápoles (actual Italia),Italy,Western Europe,Renaissance,http://www.wikidata.org/entity/Q101430,83.0
alejandroii,II Alejandro,1818.0,1881.0,"Moscú, Imperio Ruso","Moscú, Imperio Ruso",Other/Unknown,Revolutionary Era,http://www.wikidata.org/entity/Q83171,63.0
adolf_stoecker,Adolf Stoecker,1835.0,1909.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q63479,74.0
geza_onody,Géza Onody,1848.0,1924.0,Reino de Hungría (Imperio Austríaco),Hungary,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q1471811,76.0
jules_isaac,Jules Isaac,1877.0,1963.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q329560,86.0
bernard_lazare,Bernard Lazare,1865.0,1903.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q822562,38.0
shakespeare,William Shakespeare,1564.0,1616.0,Inglaterra,United Kingdom,Western Europe,Renaissance,http://www.wikidata.org/entity/Q692,52.0
walter_scott,Walter Scott,1771.0,1832.0,Escocia,Escocia,Other/Unknown,Early Modern,http://www.wikidata.org/entity/Q79025,61.0
balzac,Honoré Balzac,1799.0,1850.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9711,51.0
sainte_beuve,Charles Sainte-Beuve,1804.0,1869.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q1063392,65.0
chaucer,Geoffrey Chaucer,1343.0,1400.0,Inglaterra,United Kingdom,Western Europe,Medieval,http://www.wikidata.org/entity/Q5683,57.0
creso,Creso,-596.0,-546.0,Lidia (actual Turquía),Lidia,Other/Unknown,Antiquity (Archaic),http://www.wikidata.org/entity/Q184462,50.0
